combo,combo_prob,date,ev,hit,market_share,model,odds,pair_prob,race_code,return,stake,train_pair_count
3-2-1,0.0028346924630822065,2026-08-04,0.2970757701310152,0,0.03467805027621376,3まくり差しv29,104.8,0.0409797049450917,202608041706,0,300,13
3-2-5,0.002378659632979871,2026-08-04,0.4890524205406615,0,0.017676360257525305,3まくり差しv29,205.6,0.0343870706236426,202608041706,0,300,11
3-2-6,0.0023682119183705682,2026-08-04,0.7445658271357066,0,0.011559350092071256,3まくり差しv29,314.4,0.034236033335606694,202608041706,0,300,11
3-5-4,0.0017393428199849463,2026-08-04,0.3442159440750209,0,0.01836412162176454,3まくり差しv29,197.9,0.02514479312646332,202608041706,0,200,8
3-4-2,0.005882510920888427,2026-08-04,0.5453087623663572,0,0.016316654947182714,3直まくりv29,92.7,0.07708121899580374,202608042108,0,700,26
3-4-6,0.005770625549138373,2026-08-04,0.11021894798854294,0,0.07919130437716428,3直まくりv29,19.1,0.07561513402659976,202608042108,0,700,25
3-2-4,0.005199893415292823,2026-08-04,0.6401068794225465,0,0.012287196698650187,3直まくりv29,123.1,0.06813657101353747,202608042108,0,700,23
3-1-5,0.005179648738715855,2026-08-04,0.062155784864590266,0,0.12604615946698647,3直まくりv29,12.0,0.06787129579863097,202608042108,0,700,22
3-1-2,0.0043212911324034195,2026-08-04,0.2674879210957717,0,0.024435442869205782,3直まくりv29,61.9,0.05662384525945029,202608042108,0,600,19
3-5-2,0.004301869140439625,2026-08-04,0.47664710076071043,0,0.013651208606532832,3直まくりv29,110.8,0.0563693500556114,202608042108,0,600,19
3-2-1,0.004296952079897462,2026-08-04,0.5951278630657985,0,0.010920966885226266,3直まくりv29,138.5,0.05630491957251272,202608042108,0,600,19
3-6-1,0.0029597019389574946,2026-08-04,0.24328749938230607,0,0.0184008991922608,3直まくりv29,82.2,0.03878232210483212,202608042108,0,400,13
3-1-5,0.013509376967783357,2026-08-05,0.1486031466456169,1,0.25585684137830367,3まくり差しv29,11.0,0.20693473682415564,202608050910,17280,1600,65
3-1-4,0.010823872603319655,2026-08-05,0.14179273110348747,0,0.21484162253140002,3まくり差しv29,13.1,0.16579855858102222,202608050910,0,1300,52
