month,race_code,p3head,lambda,N,hit,comp,return_yen,zero_stake,actual,tickets,pair_train,odds_source
2026-07,202607011107,0.3261720075514753,1.0,10,0,2.9537876894364454,0.0,0,1-2-3,3-1-5;3-5-1;3-5-4;3-4-5;3-1-4;3-5-2;3-2-5;3-5-6;3-1-2;3-4-1,4286,official_closing
2026-07,202607011107,0.3261720075514753,1.0,11,0,2.9357220650710003,0.0,0,1-2-3,3-1-5;3-5-1;3-5-4;3-4-5;3-1-4;3-5-2;3-2-5;3-5-6;3-1-2;3-4-1;3-1-6,4286,official_closing
2026-07,202607011107,0.3261720075514753,1.0,12,0,2.87991590877438,0.0,0,1-2-3,3-1-5;3-5-1;3-5-4;3-4-5;3-1-4;3-5-2;3-2-5;3-5-6;3-1-2;3-4-1;3-1-6;3-2-4,4286,official_closing
2026-07,202607012203,0.37528529617474504,0.0,5,0,3.218392321820486,0.0,0,1-3-5,3-2-1;3-1-2;3-2-5;3-5-2;3-2-6,4286,official_closing
2026-07,202607012203,0.37528529617474504,0.0,6,0,2.5287013805268783,0.0,0,1-3-5,3-2-1;3-1-2;3-2-5;3-5-2;3-2-6;3-1-5,4286,official_closing
2026-07,202607012203,0.37528529617474504,0.0,7,0,2.359667540122033,0.0,0,1-3-5,3-2-1;3-1-2;3-2-5;3-5-2;3-2-6;3-1-5;3-5-1,4286,official_closing
2026-07,202607012203,0.37528529617474504,0.0,8,0,2.1515920514577154,0.0,0,1-3-5,3-2-1;3-1-2;3-2-5;3-5-2;3-2-6;3-1-5;3-5-1;3-2-4,4286,official_closing
2026-07,202607012203,0.37528529617474504,0.0,9,0,2.1441404031800677,0.0,1,1-3-5,3-2-1;3-1-2;3-2-5;3-5-2;3-2-6;3-1-5;3-5-1;3-2-4;3-6-2,4286,official_closing
2026-07,202607012203,0.37528529617474504,0.0,10,0,2.1069583899155644,0.0,1,1-3-5,3-2-1;3-1-2;3-2-5;3-5-2;3-2-6;3-1-5;3-5-1;3-2-4;3-6-2;3-1-6,4286,official_closing
2026-07,202607012203,0.37528529617474504,0.0,11,0,2.0974117077063203,0.0,2,1-3-5,3-2-1;3-1-2;3-2-5;3-5-2;3-2-6;3-1-5;3-5-1;3-2-4;3-6-2;3-1-6;3-6-1,4286,official_closing
