variant,cut,n,R,head4,trifecta_hits,trifecta_hit_rate_pct,head4_rate_pct,avg_comp_odds,cost_yen,return_yen,profit_yen,realized_roi_pct
PRE,0.25,4,168,67,28,16.666666666666664,39.88095238095239,5.788661598152559,1680000,1472710.0,-207290.0,87.66130952380952
PRE,0.25,5,168,67,32,19.047619047619047,39.88095238095239,4.780446150916372,1680000,1387850.0,-292150.0,82.61011904761905
PRE,0.25,6,168,67,37,22.023809523809522,39.88095238095239,4.167457660849517,1680000,1393690.0,-286310.0,82.9577380952381
PRE,0.25,7,168,67,38,22.61904761904762,39.88095238095239,3.768520764834641,1680000,1327270.0,-352730.0,79.00416666666666
PRE,0.25,8,168,67,47,27.976190476190478,39.88095238095239,3.4678907164414747,1680000,1441200.0,-238800.0,85.78571428571429
PRE,0.25,9,168,67,51,30.357142857142854,39.88095238095239,3.2366128049264233,1680000,1526330.0,-153670.0,90.85297619047618
PRE,0.25,10,168,67,54,32.142857142857146,39.88095238095239,3.0356396221032065,1680000,1505340.0,-174660.0,89.60357142857143
PRE,0.25,11,168,67,57,33.92857142857143,39.88095238095239,2.8700412129397925,1680000,1515040.0,-164960.0,90.18095238095238
PRE,0.25,12,168,67,58,34.523809523809526,39.88095238095239,2.739647316815084,1680000,1476850.0,-203150.0,87.9077380952381
PRE,0.25,13,168,67,60,35.714285714285715,39.88095238095239,2.6463168369820216,1680000,1488420.0,-191580.0,88.59642857142858
PRE,0.25,14,168,67,61,36.30952380952381,39.88095238095239,2.5577339473714398,1680000,1430790.0,-249210.0,85.16607142857143
PRE,0.25,15,168,67,63,37.5,39.88095238095239,2.4857470454055033,1680000,1442540.0,-237460.0,85.86547619047619
PRE,0.25,16,168,67,64,38.095238095238095,39.88095238095239,2.4262349577006113,1680000,1437850.0,-242150.0,85.58630952380952
PRE,0.25,17,168,67,65,38.69047619047619,39.88095238095239,2.3751731221850423,1680000,1431780.0,-248220.0,85.225
PRE,0.25,18,168,67,65,38.69047619047619,39.88095238095239,2.3263694215703135,1680000,1382570.0,-297430.0,82.29583333333333
PRE,0.25,19,168,67,66,39.285714285714285,39.88095238095239,2.2927150050616927,1680000,1386340.0,-293660.0,82.5202380952381
PRE,0.25,20,168,67,67,39.88095238095239,39.88095238095239,2.258969825952271,1680000,1394790.0,-285210.0,83.02321428571429
PRE,0.3,2,98,43,13,13.26530612244898,43.87755102040816,9.380797013376505,980000,1132550.0,152550.0,115.56632653061224
PRE,0.3,3,98,43,15,15.306122448979592,43.87755102040816,6.731028734560145,980000,955660.0,-24340.0,97.51632653061225
PRE,0.3,4,98,43,18,18.367346938775512,43.87755102040816,5.390592104377257,980000,980960.0,960.0,100.09795918367347
PRE,0.3,5,98,43,21,21.428571428571427,43.87755102040816,4.41948283463377,980000,914060.0,-65940.0,93.27142857142857
PRE,0.3,6,98,43,24,24.489795918367346,43.87755102040816,3.8833197775217645,980000,893540.0,-86460.0,91.17755102040816
PRE,0.3,7,98,43,25,25.510204081632654,43.87755102040816,3.5318322390040238,980000,858260.0,-121740.0,87.57755102040817
PRE,0.3,8,98,43,31,31.63265306122449,43.87755102040816,3.2645274739066807,980000,933780.0,-46220.0,95.28367346938775
PRE,0.3,9,98,43,32,32.6530612244898,43.87755102040816,3.067754487465855,980000,919790.0,-60210.0,93.85612244897959
PRE,0.3,10,98,43,33,33.6734693877551,43.87755102040816,2.885404610029181,980000,882840.0,-97160.0,90.08571428571429
PRE,0.3,11,98,43,35,35.714285714285715,43.87755102040816,2.7318530255851403,980000,885610.0,-94390.0,90.36836734693877
PRE,0.3,12,98,43,36,36.734693877551024,43.87755102040816,2.607431432221052,980000,876270.0,-103730.0,89.41530612244898
PRE,0.3,13,98,43,38,38.775510204081634,43.87755102040816,2.5115612920682415,980000,905780.0,-74220.0,92.4265306122449
PRE,0.3,14,98,43,38,38.775510204081634,43.87755102040816,2.419728297128147,980000,858600.0,-121400.0,87.61224489795919
PRE,0.3,15,98,43,40,40.816326530612244,43.87755102040816,2.354393517976734,980000,884710.0,-95290.0,90.2765306122449
PRE,0.3,16,98,43,41,41.83673469387755,43.87755102040816,2.2990503163272002,980000,890220.0,-89780.0,90.83877551020409
PRE,0.3,17,98,43,42,42.857142857142854,43.87755102040816,2.253293203814095,980000,889320.0,-90680.0,90.7469387755102
PRE,0.3,18,98,43,42,42.857142857142854,43.87755102040816,2.2086158297420644,980000,869830.0,-110170.0,88.75816326530612
PRE,0.3,19,98,43,43,43.87755102040816,43.87755102040816,2.1773442270640864,980000,875210.0,-104790.0,89.30714285714286
PRE,0.3,20,98,43,43,43.87755102040816,43.87755102040816,2.146584373995877,980000,868060.0,-111940.0,88.57755102040817
PRE,0.35,2,45,25,9,20.0,55.55555555555556,9.11373705330182,450000,684750.0,234750.0,152.16666666666666
