pre_cut,post_cut,n,R,head4_rate_pct,trifecta_hits,trifecta_hit_rate_pct,avg_comp_odds,cost_yen,return_yen,profit_yen,roi_pct,R_feb_jun,roi_feb_jun_pct,hit_feb_jun_pct
0.15,0.3,6,112,39.285714285714285,25,22.321428571428573,3.856327761819627,1120000,891050.0,-228950.0,79.55803571428571,87,69.7632183908046,18.39080459770115
0.15,0.3,7,112,39.285714285714285,26,23.214285714285715,3.5366910280828585,1120000,863910.0,-256090.0,77.13482142857143,87,67.61954022988506,19.54022988505747
0.15,0.3,8,112,39.285714285714285,31,27.67857142857143,3.2803366045055986,1120000,915350.0,-204650.0,81.72767857142857,87,71.50919540229886,24.137931034482758
0.15,0.3,9,112,39.285714285714285,32,28.57142857142857,3.0844175953415607,1120000,908830.0,-211170.0,81.14553571428571,87,73.01379310344828,25.287356321839084
0.15,0.3,10,112,39.285714285714285,33,29.464285714285715,2.898790799838597,1120000,876180.0,-243820.0,78.23035714285714,87,71.16091954022988,26.436781609195403
0.15,0.3,11,112,39.285714285714285,35,31.25,2.7360363508481194,1120000,873870.0,-246130.0,78.02410714285715,87,72.52643678160919,28.735632183908045
0.15,0.3,12,112,39.285714285714285,36,32.142857142857146,2.6062228605973567,1120000,866790.0,-253210.0,77.39196428571428,87,72.52183908045977,29.88505747126437
0.15,0.3,13,112,39.285714285714285,38,33.92857142857143,2.515544122177498,1120000,904010.0,-215990.0,80.71517857142857,87,73.50804597701149,31.03448275862069
0.15,0.3,14,112,39.285714285714285,39,34.82142857142857,2.4303500490782355,1120000,863600.0,-256400.0,77.10714285714286,87,69.50459770114942,31.03448275862069
0.15,0.3,15,112,39.285714285714285,41,36.607142857142854,2.3615032724682083,1120000,889610.0,-230390.0,79.42946428571429,87,73.01609195402298,33.33333333333333
0.15,0.3,16,112,39.285714285714285,42,37.5,2.301662760283883,1120000,892090.0,-227910.0,79.65089285714286,87,73.91609195402299,34.48275862068966
0.15,0.3,17,112,39.285714285714285,43,38.392857142857146,2.253966906084506,1120000,892250.0,-227750.0,79.66517857142857,87,74.29310344827586,35.63218390804598
0.15,0.3,18,112,39.285714285714285,43,38.392857142857146,2.2104595630042385,1120000,869930.0,-250070.0,77.67232142857142,87,72.07471264367815,35.63218390804598
