family,param,floor,month,R,return_yen,profit_yen,roi_pct,head_rate_pct,hit_rate_pct
FIXED,6,4.0,2026-06,6,45760.00000000001,-14239.999999999993,76.26666666666668,16.666666666666664,16.666666666666664
FIXED,6,4.5,2026-04,2,0.0,-20000.0,0.0,0.0,0.0
FIXED,6,4.5,2026-05,0,0.0,0.0,,,
FIXED,6,4.5,2026-06,3,45760.00000000001,15760.000000000007,152.53333333333336,33.33333333333333,33.33333333333333
FIXED,6,5.0,2026-04,1,0.0,-10000.0,0.0,0.0,0.0
FIXED,6,5.0,2026-05,0,0.0,0.0,,,
FIXED,6,5.0,2026-06,0,0.0,0.0,,,
FIXED,6,5.5,2026-04,0,0.0,0.0,,,
FIXED,6,5.5,2026-05,0,0.0,0.0,,,
FIXED,6,5.5,2026-06,0,0.0,0.0,,,
FIXED,6,6.0,2026-04,0,0.0,0.0,,,
FIXED,6,6.0,2026-05,0,0.0,0.0,,,
FIXED,6,6.0,2026-06,0,0.0,0.0,,,
FIXED,6,6.5,2026-04,0,0.0,0.0,,,
FIXED,6,6.5,2026-05,0,0.0,0.0,,,
FIXED,6,6.5,2026-06,0,0.0,0.0,,,
FIXED,6,7.0,2026-04,0,0.0,0.0,,,
FIXED,6,7.0,2026-05,0,0.0,0.0,,,
FIXED,6,7.0,2026-06,0,0.0,0.0,,,
FIXED,6,7.5,2026-04,0,0.0,0.0,,,
FIXED,6,7.5,2026-05,0,0.0,0.0,,,
FIXED,6,7.5,2026-06,0,0.0,0.0,,,
FIXED,6,8.0,2026-04,0,0.0,0.0,,,
FIXED,6,8.0,2026-05,0,0.0,0.0,,,
FIXED,6,8.0,2026-06,0,0.0,0.0,,,
FIXED,6,8.5,2026-04,0,0.0,0.0,,,
FIXED,6,8.5,2026-05,0,0.0,0.0,,,
FIXED,6,8.5,2026-06,0,0.0,0.0,,,
FIXED,6,9.0,2026-04,0,0.0,0.0,,,
FIXED,6,9.0,2026-05,0,0.0,0.0,,,
FIXED,6,9.0,2026-06,0,0.0,0.0,,,
FIXED,6,9.5,2026-04,0,0.0,0.0,,,
FIXED,6,9.5,2026-05,0,0.0,0.0,,,
FIXED,6,9.5,2026-06,0,0.0,0.0,,,
FIXED,6,10.0,2026-04,0,0.0,0.0,,,
FIXED,6,10.0,2026-05,0,0.0,0.0,,,
FIXED,6,10.0,2026-06,0,0.0,0.0,,,
FIXED,6,10.5,2026-04,0,0.0,0.0,,,
FIXED,6,10.5,2026-05,0,0.0,0.0,,,
FIXED,6,10.5,2026-06,0,0.0,0.0,,,
FIXED,6,11.0,2026-04,0,0.0,0.0,,,
FIXED,6,11.0,2026-05,0,0.0,0.0,,,
FIXED,6,11.0,2026-06,0,0.0,0.0,,,
FIXED,6,11.5,2026-04,0,0.0,0.0,,,
FIXED,6,11.5,2026-05,0,0.0,0.0,,,
FIXED,6,11.5,2026-06,0,0.0,0.0,,,
FIXED,6,12.0,2026-04,0,0.0,0.0,,,
FIXED,6,12.0,2026-05,0,0.0,0.0,,,
FIXED,6,12.0,2026-06,0,0.0,0.0,,,
FIXED,6,12.5,2026-04,0,0.0,0.0,,,
FIXED,6,12.5,2026-05,0,0.0,0.0,,,
FIXED,6,12.5,2026-06,0,0.0,0.0,,,
FIXED,6,13.0,2026-04,0,0.0,0.0,,,
FIXED,6,13.0,2026-05,0,0.0,0.0,,,
FIXED,6,13.0,2026-06,0,0.0,0.0,,,
FIXED,6,13.5,2026-04,0,0.0,0.0,,,
FIXED,6,13.5,2026-05,0,0.0,0.0,,,
FIXED,6,13.5,2026-06,0,0.0,0.0,,,
FIXED,6,14.0,2026-04,0,0.0,0.0,,,
FIXED,6,14.0,2026-05,0,0.0,0.0,,,
FIXED,6,14.0,2026-06,0,0.0,0.0,,,
FIXED,6,14.5,2026-04,0,0.0,0.0,,,
FIXED,6,14.5,2026-05,0,0.0,0.0,,,
FIXED,6,14.5,2026-06,0,0.0,0.0,,,
FIXED,6,15.0,2026-04,0,0.0,0.0,,,
FIXED,6,15.0,2026-05,0,0.0,0.0,,,
FIXED,6,15.0,2026-06,0,0.0,0.0,,,
FIXED,7,4.0,2026-04,2,0.0,-20000.0,0.0,0.0,0.0
FIXED,7,4.0,2026-05,0,0.0,0.0,,,
FIXED,7,4.0,2026-06,3,44000.0,14000.0,146.66666666666666,33.33333333333333,33.33333333333333
FIXED,7,4.5,2026-04,1,0.0,-10000.0,0.0,0.0,0.0
FIXED,7,4.5,2026-05,0,0.0,0.0,,,
FIXED,7,4.5,2026-06,0,0.0,0.0,,,
FIXED,7,5.0,2026-04,0,0.0,0.0,,,
FIXED,7,5.0,2026-05,0,0.0,0.0,,,
FIXED,7,5.0,2026-06,0,0.0,0.0,,,
FIXED,7,5.5,2026-04,0,0.0,0.0,,,
FIXED,7,5.5,2026-05,0,0.0,0.0,,,
FIXED,7,5.5,2026-06,0,0.0,0.0,,,
FIXED,7,6.0,2026-04,0,0.0,0.0,,,
FIXED,7,6.0,2026-05,0,0.0,0.0,,,
FIXED,7,6.0,2026-06,0,0.0,0.0,,,
FIXED,7,6.5,2026-04,0,0.0,0.0,,,
FIXED,7,6.5,2026-05,0,0.0,0.0,,,
FIXED,7,6.5,2026-06,0,0.0,0.0,,,
FIXED,7,7.0,2026-04,0,0.0,0.0,,,
FIXED,7,7.0,2026-05,0,0.0,0.0,,,
FIXED,7,7.0,2026-06,0,0.0,0.0,,,
FIXED,7,7.5,2026-04,0,0.0,0.0,,,
FIXED,7,7.5,2026-05,0,0.0,0.0,,,
FIXED,7,7.5,2026-06,0,0.0,0.0,,,
FIXED,7,8.0,2026-04,0,0.0,0.0,,,
FIXED,7,8.0,2026-05,0,0.0,0.0,,,
FIXED,7,8.0,2026-06,0,0.0,0.0,,,
FIXED,7,8.5,2026-04,0,0.0,0.0,,,
FIXED,7,8.5,2026-05,0,0.0,0.0,,,
FIXED,7,8.5,2026-06,0,0.0,0.0,,,
FIXED,7,9.0,2026-04,0,0.0,0.0,,,
FIXED,7,9.0,2026-05,0,0.0,0.0,,,
FIXED,7,9.0,2026-06,0,0.0,0.0,,,
FIXED,7,9.5,2026-04,0,0.0,0.0,,,
FIXED,7,9.5,2026-05,0,0.0,0.0,,,
FIXED,7,9.5,2026-06,0,0.0,0.0,,,
FIXED,7,10.0,2026-04,0,0.0,0.0,,,
FIXED,7,10.0,2026-05,0,0.0,0.0,,,
FIXED,7,10.0,2026-06,0,0.0,0.0,,,
FIXED,7,10.5,2026-04,0,0.0,0.0,,,
