actual_combo,combo,combo_prob,date,ev,hit,market_share,model,odds,pair_prob,payout100,race,race_code,return,stake,train_pair_count,venue
,3-1-5,0.0034857719164251085,2026-08-29,0.13908229946536182,0,0.08172917149342249,3まくり,39.9,0.06848025565138459,0,07R,202608291707,0,500,19,17
,3-4-1,0.003308123636043151,2026-08-29,0.13232494544172604,0,0.08152484856468893,3まくり,40.0,0.06499023968124569,0,07R,202608291707,0,500,18,17
,3-2-4,0.003212097924280637,2026-08-29,0.75644906116809,0,0.01384710803646521,3まくり,235.5,0.06310375214038928,0,07R,202608291707,0,500,18,17
,3-5-2,0.003209016837438432,2026-08-29,0.896278402696554,0,0.011675595927631783,3まくり,279.3,0.06304322218613607,0,07R,202608291707,0,500,18,17
,3-2-1,0.003047068273585086,2026-08-29,0.4409107791877619,0,0.02253624010081242,3まくり,144.7,0.05986163735472647,0,07R,202608291707,0,400,17,17
,3-4-5,0.0028735737613183386,2026-08-29,0.3709783725861975,0,0.025259441848083323,3まくり,129.1,0.05645322485987688,0,07R,202608291707,0,400,16,17
,3-1-4,0.0028021149264368553,2026-08-29,0.0406306664333344,0,0.22489613397155564,3まくり,14.5,0.0550493695880573,0,07R,202608291707,0,400,14,17
,3-1-2,0.002789981108220996,2026-08-29,0.09960232556348957,0,0.09134436813970748,3まくり,35.7,0.05481099284013122,0,07R,202608291707,0,400,15,17
,3-5-1,0.0026854130276088317,2026-08-29,0.49626432750211213,0,0.017646071117898034,3まくり,184.8,0.0527566849092097,0,07R,202608291707,0,400,15,17
3-1-6,3-4-2,0.005262701593113751,2026-08-30,1.3293584224205335,0,0.018873634742088925,3まくり,252.6,0.0806654671705112,0,10R,202608300810,0,400,23,08
3-1-6,3-4-6,0.004821010620559678,2026-08-30,0.8841733478106449,0,0.025994984383051593,3まくり,183.4,0.07389533057513734,0,10R,202608300810,0,300,21,08
3-1-6,3-1-5,0.004728056693679124,2026-08-30,0.10023480190599743,0,0.224881138483569,3まくり,21.2,0.07247055438281726,0,10R,202608300810,0,300,19,08
3-1-6,3-4-1,0.004193534906462682,2026-08-30,0.35728917403062055,0,0.05595633962267209,3まくり,85.2,0.06427752863059713,0,10R,202608300810,0,300,18,08
3-1-6,3-5-2,0.004158466733389036,2026-08-30,0.5406006753405747,0,0.03667292412193587,3まくり,130.0,0.06374001182221424,0,10R,202608300810,0,300,18,08
3-1-6,3-2-4,0.0041209173712991485,2026-08-30,1.2259729179614967,0,0.016025143313787103,3まくり,297.5,0.06316446392512298,0,10R,202608300810,0,300,18,08
3-1-6,3-2-1,0.003910423971886899,2026-08-30,0.737505961097869,0,0.02527826158988156,3まくり,188.6,0.05993807000947405,0,10R,202608300810,0,300,17,08
3-1-6,3-4-5,0.0036831031617307057,2026-08-30,0.6946332563024111,0,0.02527826158988156,3まくり,188.6,0.05645374945198276,0,10R,202608300810,0,300,16,08
3-1-6,3-5-1,0.0035510170314159073,2026-08-30,0.2180324457289367,0,0.07764625628422903,3まくり,61.4,0.05442916393823635,0,10R,202608300810,0,300,15,08
3-1-6,3-1-2,0.003492070023074233,2026-08-30,0.36806418043202416,0,0.04523225935343133,3まくり,105.4,0.05352563789138485,0,10R,202608300810,0,300,15,08
3-1-6,3-1-4,0.003388429099314562,2026-08-30,0.14265286508114305,0,0.11324180845253354,3まくり,42.1,0.051937053894147274,0,10R,202608300810,0,300,14,08
3-1-6,3-6-1,0.003029020443232238,2026-08-30,0.35560700003546475,0,0.04060885976023562,3まくり,117.4,0.04642812152641772,0,10R,202608300810,0,200,13,08
3-1-6,3-1-6,0.0029159186931342488,2026-08-30,0.13442385175348887,1,0.10341605500762825,3まくり,46.1,0.0446945241813973,3330,10R,202608300810,6660,200,12,08
3-1-6,3-5-4,0.0025607789435116114,2026-08-30,0.3684960899713209,0,0.03313050824080377,3まくり,143.9,0.03925102461995272,0,10R,202608300810,0,200,11,08
3-1-6,3-2-6,0.0023055829319393872,2026-08-30,0.617435109173368,0,0.017802390350454302,3まくり,267.8,0.03533943945227747,0,10R,202608300810,0,200,10,08
3-1-6,3-6-4,0.0020899196914823392,2026-08-30,0.4115051872528726,0,0.024212697490358873,3まくり,196.9,0.0320338034143654,0,10R,202608300810,0,200,9,08
