actual_combo,band,combo,combo_prob,conditional_prob,date,ev,head,head_prob,hit,kelly_raw,model,odds_pre,payout100,period,race_code,return,score,stake
1-3-6,A,3-1-4,0.023845119014087146,0.0913872397292117,2026-08-27,1.5880849263382038,3,0.2609239439197671,0,0.008964709242960424,3まくり,66.6,790,test,202608270909,0,71.41066666666669,100
1-3-6,A,3-2-4,0.01020919678196318,0.0391270982210144,2026-08-27,1.9489356656767711,3,0.2609239439197671,0,0.0049970282552752555,3まくり,190.9,790,test,202608270909,0,71.41066666666669,100
1-3-6,A,3-4-1,0.024792297392310602,0.09501733347988224,2026-08-27,3.1114333227349804,3,0.2609239439197671,0,0.016959303797068115,3まくり,125.5,790,test,202608270909,0,71.41066666666669,100
1-3-6,A,3-4-2,0.011884542773495214,0.045547919424173876,2026-08-27,3.4572134928097573,3,0.2609239439197671,0,0.008476072758916032,3まくり,290.9,790,test,202608270909,0,71.41066666666669,100
1-3-6,A,3-4-5,0.014069212352465457,0.05392074081477043,2026-08-27,3.304857981594136,3,0.2609239439197671,0,0.009854031558760735,3まくり,234.9,790,test,202608270909,0,71.41066666666669,100
1-3-6,A,3-4-6,0.023276154460989486,0.0892066634871455,2026-08-27,2.697706302028682,3,0.2609239439197671,0,0.014775511767003322,3まくり,115.9,790,test,202608270909,0,71.41066666666669,100
1-3-6,A,3-5-4,0.015065061008483229,0.057737365081050845,2026-08-27,3.680394404372453,3,0.2609239439197671,0,0.011016828624629892,3まくり,244.3,790,test,202608270909,0,71.41066666666669,100
1-3-6,A,3-6-4,0.012488388064914369,0.04786217729697697,2026-08-27,1.3699761707211062,3,0.2609239439197671,0,0.003403644624849183,3まくり,109.7,790,test,202608270909,0,71.41066666666669,100
1-2-4,A,5-1-2,0.07229879446677608,0.7229879446677607,2026-08-28,10.411026403215756,5,0.1,0,0.06581137344906123,5頭展開,144.0,530,test,202608280709,0,61.06666666666667,300
1-2-4,A,5-1-6,0.017936869100159618,0.17936869100159616,2026-08-28,4.536234195430367,5,0.1,0,0.014038246111275772,5頭展開,252.9,530,test,202608280709,0,61.06666666666667,100
1-2-4,A,5-1-2,0.04470045485355154,0.4470045485355154,2026-08-28,8.193593374655999,5,0.1,0,0.039460194046385066,5頭展開,183.3,1380,test,202608280711,0,61.732000000000006,300
1-2-4,A,5-1-6,0.0373382474119964,0.373382474119964,2026-08-28,7.389239162834087,5,0.1,0,0.03244915775944179,5頭展開,197.9,1380,test,202608280711,0,61.732000000000006,300
1-2-5,A,5-1-6,0.017167163474369054,0.17167163474369054,2026-08-28,1.613713366590691,5,0.1,0,0.00659906845796442,5頭展開,94.0,810,test,202608281001,0,73.61433333333332,100
6-1-3,A,3-1-2,0.009112562474146251,0.04456572276738105,2026-08-28,1.217438346545939,3,0.20447469284209616,0,0.001639806535037248,3まくり,133.6,20530,test,202608281111,0,60.10966666666666,100
6-1-3,A,3-1-4,0.02738647617109401,0.13393577361792633,2026-08-28,1.5500745512839211,3,0.20447469284209616,0,0.009893427181365488,3まくり,56.6,20530,test,202608281111,0,60.10966666666666,100
6-1-3,A,3-2-1,0.007503721870381481,0.03669755785463469,2026-08-28,1.9307076372491552,3,0.20447469284209616,0,0.0036313212534106716,3まくり,257.3,20530,test,202608281111,0,60.10966666666666,100
6-1-3,A,3-2-4,0.008987380889637074,0.0439535121178908,2026-08-28,1.588070203198871,3,0.20447469284209616,0,0.003347013108701599,3まくり,176.7,20530,test,202608281111,0,60.10966666666666,100
6-1-3,A,3-4-1,0.029838237212062822,0.14592630900834827,2026-08-28,2.867454596079237,3,0.20447469284209616,0,0.0196367465413169,3まくり,96.1,20530,test,202608281111,0,60.10966666666666,100
6-1-3,A,3-4-2,0.011891426213651577,0.05815598032385666,2026-08-28,2.2617492658365297,3,0.20447469284209616,0,0.00666886504141929,3まくり,190.2,20530,test,202608281111,0,60.10966666666666,100
6-1-3,A,3-4-5,0.010954768730773872,0.053575181253523625,2026-08-28,2.8613855924781353,3,0.20447469284209616,0,0.00715367253066155,3まくり,261.2,20530,test,202608281111,0,60.10966666666666,100
6-1-3,A,3-4-6,0.02006332873269614,0.0981213296072286,2026-08-28,1.8759212365070892,3,0.20447469284209616,0,0.009469418773049612,3まくり,93.5,20530,test,202608281111,0,60.10966666666666,100
6-1-3,A,3-5-1,0.0077163882781300566,0.03773762009799898,2026-08-28,1.9020897105590588,3,0.20447469284209616,0,0.003674499839344435,3まくり,246.5,20530,test,202608281111,0,60.10966666666666,100
6-1-3,A,3-5-4,0.009242096355093165,0.04519921867411873,2026-08-28,2.6515574442762286,3,0.20447469284209616,0,0.0057766962024352175,3まくり,286.9,20530,test,202608281111,0,60.10966666666666,100
6-1-3,A,3-6-1,0.007405213056425065,0.036215792543792584,2026-08-28,1.2581456982866186,3,0.20447469284209616,0,0.0015283937139527446,3まくり,169.9,20530,test,202608281111,0,60.10966666666666,100
6-1-3,A,3-6-4,0.00886939460932099,0.04337649068469469,2026-08-28,1.361452072530772,3,0.20447469284209616,0,0.002370177524791947,3まくり,153.5,20530,test,202608281111,0,60.10966666666666,100
5-6-2,A,5-1-2,0.046469444261491195,0.46469444261491194,2026-08-28,9.967695794089861,5,0.1,0,0.042003258988711295,5頭展開,214.5,75240,test,202608281307,0,65.379,300
5-6-2,A,5-1-6,0.044560082021934226,0.4456008202193422,2026-08-28,4.103983554220142,5,0.1,0,0.03407226733501803,5頭展開,92.1,75240,test,202608281307,0,65.379,300
2-1-5,A,5-1-2,0.07517166212039807,0.7517166212039806,2026-08-28,3.570653950718908,5,0.1,0,0.05528288066062168,5頭展開,47.5,1280,test,202608281406,0,65.54433333333334,300
